SURVEY: OTHER_LOWZ_LC(OTHER_LOWZ_LC)   
SNID:   273   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_OTHER_LOWZ 
SNTYPE:  1 
FILTERS: UBVRIfhjkl 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.015118 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.013900 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   52182.062 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  23  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.01512  
SIM_REDSHIFT_CMB:    0.01390  
SIM_REDSHIFT_HOST:   0.01512  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      33.8991  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0239   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:     -0.038  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
      (UBVRIfhjkl F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   15.28  15.36  15.14  15.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      (UBVRIfhjkl obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
      (UBVRIfhjkl obs)
SIM_PEAKMJD:   52182.605469  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   1.7643e-02   
SIM_SALT2x1:   -0.1743   
SIM_SALT2c:     0.1484   
SIM_SALT2mB:   15.0186   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 117 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  52171.350  R NULL   3.3817e+04   4.382e+03    0  20.805   0.85  16.1555 
OBS:  52171.350  B NULL   2.5198e+04   2.243e+03    0  21.841   0.85  16.5971 
OBS:  52171.350  V NULL   2.6608e+04   3.786e+03    0  20.870   0.85  16.3868 
OBS:  52174.310  R NULL   6.3613e+04   7.905e+03    0  20.174   0.85  15.5297 
OBS:  52174.310  V NULL   4.1984e+04   6.638e+03    0  20.161   0.85  15.7572 
OBS:  52174.310  B NULL   4.2035e+04   3.936e+03    0  21.175   0.85  15.9220 
OBS:  52177.340  V NULL   1.0237e+05   1.244e+04    0  19.684   0.85  15.3696 
OBS:  52177.340  R NULL   8.0067e+04   1.173e+04    0  19.601   0.85  15.1684 
OBS:  52177.340  B NULL   5.2331e+04   5.630e+03    0  20.654   0.85  15.5276 
OBS:  52178.320  V NULL   7.4719e+04   1.182e+04    0  19.524   0.85  15.2957 
OBS:  52178.320  U NULL   8.1311e+04   2.155e+04    0  18.508   0.85  15.2587 
OBS:  52178.320  B NULL   7.0117e+04   7.643e+03    0  20.307   0.85  15.4589 
OBS:  52179.310  U NULL   6.9742e+04   2.055e+04    0  18.501   0.85  15.2262 
OBS:  52179.310  V NULL   8.8472e+04   1.335e+04    0  19.429   0.85  15.2393 
OBS:  52179.310  B NULL   7.5293e+04   8.604e+03    0  20.136   0.85  15.4109 
OBS:  52183.340  R NULL   1.1706e+05   2.015e+04    0  18.881   0.85  14.9945 
OBS:  52183.340  B NULL   7.7104e+04   7.839e+03    0  20.345   0.85  15.3738 
OBS:  52183.340  V NULL   8.4913e+04   1.310e+04    0  19.432   0.85  15.1369 
OBS:  52183.360  V NULL   9.6350e+04   1.405e+04    0  19.397   0.85  15.1368 
OBS:  52183.360  B NULL   6.4987e+04   6.520e+03    0  20.558   0.85  15.3741 
OBS:  52183.360  U NULL   7.2683e+04   1.690e+04    0  18.851   0.85  15.3234 
OBS:  52184.380  U NULL   6.5534e+04   1.581e+04    0  18.900   0.85  15.3930 
OBS:  52184.380  B NULL   7.0893e+04   6.682e+03    0  20.589   0.85  15.4001 
OBS:  52184.380  V NULL   7.0236e+04   1.230e+04    0  19.405   0.85  15.1384 
OBS:  52186.300  B NULL   6.9666e+04   6.105e+03    0  20.758   0.85  15.4808 
OBS:  52186.300  V NULL   9.7016e+04   1.349e+04    0  19.483   0.85  15.1647 
OBS:  52186.300  R NULL   9.8349e+04   1.184e+04    0  19.754   0.85  15.0290 
OBS:  52189.280  V NULL   7.1292e+04   1.109e+04    0  19.606   0.85  15.2619 
OBS:  52189.282  R NULL   8.7345e+04   9.930e+03    0  19.998   0.85  15.1581 
OBS:  52189.283  U NULL   4.7528e+04   1.061e+04    0  19.383   0.85  15.8512 
OBS:  52189.283  B NULL   5.7744e+04   4.901e+03    0  21.029   0.85  15.6687 
OBS:  52189.330  V NULL   8.9330e+04   1.215e+04    0  19.615   0.85  15.2641 
OBS:  52189.330  R NULL   7.9391e+04   1.002e+04    0  19.899   0.85  15.1611 
OBS:  52189.330  B NULL   6.6010e+04   5.383e+03    0  20.963   0.85  15.6722 
OBS:  52190.290  V NULL   7.7399e+04   1.149e+04    0  19.604   0.85  15.3108 
OBS:  52190.291  U NULL   5.0649e+04   1.060e+04    0  19.426   0.85  15.9598 
