SURVEY: SNLS3_LC(SNLS3_LC)   
SNID:   687   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SNLS3 
SNTYPE:  1 
FILTERS: griz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.553859 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.552000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53137.984 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  37  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.55386  
SIM_REDSHIFT_CMB:    0.55200  
SIM_REDSHIFT_HOST:   0.55386  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      42.5102  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0250   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  (griz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   24.83  23.25  23.11  23.05  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   53137.171875  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   7.9137e-06   
SIM_SALT2x1:   -0.5681   
SIM_SALT2c:     0.0530   
SIM_SALT2mB:   23.3890   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -17.82   days 
SIM_TRESTMAX:    58.61   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 60 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53109.490  i NULL   1.1545e+00   1.453e+00    0  35.791   0.85  29.2114 
OBS:  53109.540  r NULL   1.1324e+00   1.164e+00    0  35.192   0.85  99.0000 
OBS:  53109.580  g NULL   1.1735e-01   1.194e+00    0  34.546   0.85  99.0000 
OBS:  53112.530  i NULL  -6.9982e-01   1.547e+00    0  35.654   0.85  27.3084 
OBS:  53116.500  i NULL   9.5093e+00   1.864e+00    0  35.253   0.85  25.3341 
OBS:  53117.440  i NULL   1.0360e+01   2.514e+00    0  34.602   0.85  25.0669 
OBS:  53117.460  r NULL   5.3022e+00   1.203e+00    0  35.125   0.85  25.1995 
OBS:  53117.480  g NULL   1.4092e+00   9.756e-01    0  34.986   0.85  27.1906 
OBS:  53121.410  r NULL   1.6495e+01   1.096e+00    0  35.339   0.85  24.3185 
OBS:  53121.490  i NULL   1.8335e+01   1.714e+00    0  35.440   0.85  24.2377 
OBS:  53121.510  g NULL   2.8431e+00   8.558e-01    0  35.272   0.85  25.8876 
OBS:  53123.420  i NULL   2.4853e+01   1.619e+00    0  35.567   0.85  23.9405 
OBS:  53123.450  r NULL   2.3410e+01   1.579e+00    0  34.551   0.85  23.9942 
OBS:  53123.490  z NULL   2.2995e+01   4.291e+00    0  34.652   0.85  23.8593 
OBS:  53134.290  i NULL   5.6746e+01   1.510e+00    0  35.752   0.85  23.1371 
OBS:  53134.340  r NULL   4.8340e+01   1.140e+00    0  35.313   0.85  23.2547 
OBS:  53134.380  z NULL   5.6795e+01   4.559e+00    0  34.526   0.85  23.0952 
OBS:  53138.410  i NULL   5.7286e+01   2.170e+00    0  34.949   0.85  23.1092 
OBS:  53138.430  r NULL   4.9832e+01   1.226e+00    0  35.150   0.85  23.2700 
OBS:  53138.460  g NULL   1.0056e+01   1.010e+00    0  34.923   0.85  24.9060 
OBS:  53146.430  i NULL   4.7283e+01   2.170e+00    0  34.943   0.85  23.2603 
OBS:  53146.460  r NULL   3.7626e+01   1.266e+00    0  35.053   0.85  23.5890 
OBS:  53146.490  g NULL   4.9734e+00   9.621e-01    0  35.021   0.85  25.5588 
OBS:  53149.260  i NULL   4.7133e+01   3.267e+00    0  34.047   0.85  23.3508 
OBS:  53149.310  r NULL   3.2633e+01   1.175e+00    0  35.208   0.85  23.7676 
OBS:  53149.330  g NULL   3.4093e+00   7.916e-01    0  35.443   0.85  25.8257 
OBS:  53151.330  z NULL   4.4603e+01   4.115e+00    0  34.747   0.85  23.3361 
OBS:  53151.380  i NULL   4.1848e+01   2.741e+00    0  34.428   0.85  23.4291 
OBS:  53151.450  r NULL   2.5110e+01   1.783e+00    0  34.288   0.85  23.9207 
OBS:  53165.340  i NULL   1.9429e+01   1.550e+00    0  35.659   0.85  24.1914 
OBS:  53165.390  r NULL   6.8124e+00   9.156e-01    0  35.719   0.85  25.1315 
OBS:  53165.410  g NULL   3.6494e-01   8.469e-01    0  35.292   0.85  27.2371 
OBS:  53169.350  i NULL   1.4812e+01   1.708e+00    0  35.445   0.85  24.4393 
OBS:  53169.380  r NULL   5.3543e+00   1.325e+00    0  34.914   0.85  25.4258 
