SURVEY: Hicken2009_LC(Hicken2009_LC)   
SNID:   86   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_Hicken09 
SNTYPE:  1 
FILTERS: UBVRIfhjklabcde 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.014079 +- 0.000001  (Helio, z_best) 
REDSHIFT_FINAL:   0.012862 +- 0.000001  (CMB) 

VPEC:       105.02  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54045.727 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  36  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.01408  
SIM_REDSHIFT_CMB:    0.01321  
SIM_REDSHIFT_HOST:   0.01408  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -105.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      33.7867  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0318   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:     -0.057  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000  (UBVRIfhjklabcde F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  -9.00  -9.00  -9.00  -9.00  13.80  14.21  14.38  14.53  15.13
      -9.00  -9.00  -9.00  -9.00  -9.00  (UBVRIfhjklabcde obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
        1.0    1.0    1.0    1.0    1.0  (UBVRIfhjklabcde obs)
SIM_PEAKMJD:   54045.277344  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   5.0295e-02   
SIM_SALT2x1:   -1.4382   
SIM_SALT2c:    -0.2393   
SIM_SALT2mB:   13.8812   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 116 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  54036.492  l NULL   5.3598e+04   5.128e+02    0  26.160   0.85  15.6547 
OBS:  54036.494  k NULL   7.0905e+04   6.611e+02    0  25.862   0.85  15.3586 
OBS:  54036.497  j NULL   7.6578e+04   7.453e+02    0  25.636   0.85  15.2949 
OBS:  54036.500  h NULL   9.0508e+04   1.140e+03    0  24.764   0.85  15.1238 
OBS:  54037.193  l NULL   6.3963e+04   5.873e+02    0  26.051   0.85  15.4962 
OBS:  54037.195  k NULL   8.4046e+04   6.398e+02    0  26.291   0.85  15.1910 
OBS:  54037.197  j NULL   8.9711e+04   7.715e+02    0  25.821   0.85  15.1224 
OBS:  54037.199  h NULL   1.0871e+05   1.094e+03    0  25.142   0.85  14.9354 
OBS:  54039.426  l NULL   8.3918e+04   1.055e+03    0  24.907   0.85  15.1874 
OBS:  54039.428  k NULL   1.1653e+05   8.355e+02    0  26.151   0.85  14.8298 
OBS:  54039.429  j NULL   1.2775e+05   1.212e+03    0  25.146   0.85  14.7408 
OBS:  54039.432  h NULL   1.5276e+05   1.054e+03    0  26.005   0.85  14.5288 
OBS:  54039.435  f NULL   2.6158e+05   7.460e+03    0  21.717   0.85  13.9628 
OBS:  54039.438  f NULL   2.5292e+05   7.416e+03    0  21.694   0.85  13.9624 
OBS:  54040.304  l NULL   8.8965e+04   8.490e+02    0  25.567   0.85  15.1305 
OBS:  54040.306  k NULL   1.2666e+05   9.112e+02    0  26.045   0.85  14.7409 
OBS:  54040.308  j NULL   1.3655e+05   9.730e+02    0  26.021   0.85  14.6412 
OBS:  54040.310  h NULL   1.6985e+05   1.483e+03    0  25.075   0.85  14.4258 
OBS:  54040.317  f NULL   2.9491e+05   7.599e+03    0  21.810   0.85  13.8621 
OBS:  54041.359  l NULL   8.9789e+04   9.102e+02    0  25.399   0.85  15.1020 
OBS:  54041.361  k NULL   1.3867e+05   9.164e+02    0  26.241   0.85  14.6633 
OBS:  54041.364  j NULL   1.4923e+05   9.399e+02    0  26.442   0.85  14.5486 
OBS:  54041.367  h NULL   1.8630e+05   2.157e+03    0  24.193   0.85  14.3318 
OBS:  54043.387  l NULL   9.0644e+04   9.871e+02    0  25.189   0.85  15.1047 
OBS:  54043.390  k NULL   1.4842e+05   1.025e+03    0  26.025   0.85  14.5692 
OBS:  54043.392  j NULL   1.7164e+05   1.111e+03    0  26.092   0.85  14.4319 
OBS:  54043.395  h NULL   2.0410e+05   2.084e+03    0  24.429   0.85  14.2268 
OBS:  54044.321  l NULL   9.0329e+04   8.642e+02    0  25.543   0.85  15.1131 
OBS:  54044.326  j NULL   1.7544e+05   1.245e+03    0  25.716   0.85  14.4004 
OBS:  54044.329  h NULL   2.0813e+05   2.818e+03    0  23.682   0.85  14.2089 
OBS:  54046.430  k NULL   1.5356e+05   1.749e+03    0  24.463   0.85  14.5194 
OBS:  54050.462  l NULL   7.5035e+04   6.499e+02    0  26.047   0.85  15.3119 
OBS:  54050.464  k NULL   1.4315e+05   9.128e+02    0  26.394   0.85  14.6109 
OBS:  54050.467  j NULL   1.6277e+05   1.047e+03    0  26.229   0.85  14.4627 
OBS:  54050.470  h NULL   1.6782e+05   1.407e+03    0  25.189   0.85  14.4649 
OBS:  54051.455  l NULL   6.9637e+04   5.461e+02    0  26.460   0.85  15.3797 
OBS:  54051.457  k NULL   1.3607e+05   8.948e+02    0  26.314   0.85  14.6667 
