SURVEY: SNLS3_LC
SNID: 05D2ay
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0161 MW E(B-V)
REDSHIFT_HELIO: 0.92 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53374.858
FILTERS: griz

NOBS: 106
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53330.640 g  NULL    0.9327 1.3535
OBS: 53331.610 g  NULL    -0.1425 2.0475
OBS: 53349.640 g  NULL    1.5929 1.1015
OBS: 53352.600 g  NULL    -0.1451 1.0928
OBS: 53355.640 g  NULL    -0.0650 1.0262
OBS: 53375.650 g  NULL    0.6597 1.5994
OBS: 53385.520 g  NULL    0.1489 1.1536
OBS: 53390.540 g  NULL    -1.8562 1.1216
OBS: 53408.490 g  NULL    -1.7369 1.0327
OBS: 53415.520 g  NULL    0.7291 1.3990
OBS: 53446.330 g  NULL    0.8322 1.1947
OBS: 53463.310 g  NULL    0.1278 0.9110
OBS: 53469.340 g  NULL    0.1560 0.6750
OBS: 53474.380 g  NULL    -0.3454 0.8955
OBS: 53678.610 g  NULL    -0.9665 1.0896
OBS: 53703.610 g  NULL    -1.5636 0.9541
OBS: 53705.600 g  NULL    -0.3155 0.8926
OBS: 53731.540 g  NULL    0.7678 0.8465
OBS: 53735.520 g  NULL    -1.5135 1.4146
OBS: 53739.480 g  NULL    -1.4369 1.1359
OBS: 53742.500 g  NULL    0.5002 0.9190
OBS: 53329.590 i  NULL    2.4716 2.1373
OBS: 53330.580 i  NULL    0.8660 1.8052
OBS: 53349.570 i  NULL    6.9720 2.8942
OBS: 53352.540 i  NULL    5.0693 1.9534
OBS: 53355.590 i  NULL    10.9542 2.0611
OBS: 53357.620 i  NULL    10.9705 3.4631
OBS: 53358.520 i  NULL    14.6833 2.1434
OBS: 53374.600 i  NULL    23.0883 2.3028
OBS: 53378.460 i  NULL    23.5657 2.7761
OBS: 53385.550 i  NULL    18.2716 1.4463
OBS: 53390.430 i  NULL    18.1920 1.8268
OBS: 53408.430 i  NULL    3.5881 2.0302
OBS: 53411.480 i  NULL    5.0889 1.5582
OBS: 53416.450 i  NULL    -0.4171 2.1937
OBS: 53418.390 i  NULL    3.5786 2.3718
OBS: 53440.410 i  NULL    -0.2652 1.9620
OBS: 53446.250 i  NULL    2.6594 2.4149
OBS: 53448.270 i  NULL    -46.3096 26.1923
OBS: 53461.410 i  NULL    -5.2244 4.1472
OBS: 53462.340 i  NULL    11.9364 2.7589
OBS: 53466.290 i  NULL    1.2508 1.8887
OBS: 53470.260 i  NULL    4.0599 1.4915
OBS: 53474.360 i  NULL    2.3115 1.8548
OBS: 53495.250 i  NULL    4.8536 3.1708
OBS: 53503.280 i  NULL    0.4338 1.8958
OBS: 53679.590 i  NULL    -7.0369 3.3587
OBS: 53680.590 i  NULL    -2.3247 2.1114
OBS: 53699.540 i  NULL    -0.8490 3.1055
OBS: 53702.590 i  NULL    2.6751 2.2708
OBS: 53705.550 i  NULL    -1.8558 1.6220
OBS: 53710.560 i  NULL    -12.5956 12.6740
OBS: 53728.550 i  NULL    -0.4825 1.5887
OBS: 53731.490 i  NULL    1.2533 1.9643
OBS: 53735.460 i  NULL    0.2543 2.2010
OBS: 53739.460 i  NULL    -0.5381 2.8517
OBS: 53742.440 i  NULL    1.2137 1.6499
OBS: 53328.570 r  NULL    -1.6802 4.3649
OBS: 53330.620 r  NULL    1.0156 1.8592
OBS: 53349.620 r  NULL    -2.9700 1.9226
OBS: 53352.580 r  NULL    -3.3348 2.1523
OBS: 53355.620 r  NULL    4.0116 1.9726
OBS: 53358.560 r  NULL    6.1397 2.5538
OBS: 53374.650 r  NULL    9.8476 4.2077
OBS: 53375.580 r  NULL    12.0631 1.5871
OBS: 53385.590 r  NULL    5.9138 1.7946
OBS: 53390.470 r  NULL    4.1668 2.1612
OBS: 53408.470 r  NULL    2.2193 1.7690
OBS: 53411.520 r  NULL    -0.5181 1.5160
OBS: 53415.450 r  NULL    3.9223 2.4649
OBS: 53418.490 r  NULL    1.0565 2.3235
OBS: 53440.470 r  NULL    1.9862 2.1032
OBS: 53446.310 r  NULL    0.3484 2.7895
OBS: 53462.400 r  NULL    4.4840 4.5708
OBS: 53463.260 r  NULL    -0.1351 2.5579
OBS: 53466.360 r  NULL    1.1016 2.1708
OBS: 53470.290 r  NULL    1.0854 1.8146
OBS: 53474.400 r  NULL    2.2280 1.6651
OBS: 53495.350 r  NULL    4.0831 2.5541
OBS: 53503.300 r  NULL    0.5081 1.8411
OBS: 53678.640 r  NULL    0.0969 1.7484
OBS: 53699.590 r  NULL    -0.4969 1.5749
OBS: 53702.610 r  NULL    -1.4455 2.2173
OBS: 53705.580 r  NULL    0.9368 1.6992
OBS: 53728.590 r  NULL    -0.7408 2.0880
OBS: 53731.510 r  NULL    1.3702 1.5206
OBS: 53735.510 r  NULL    -2.6443 2.1351
OBS: 53739.500 r  NULL    4.9721 3.0496
OBS: 53740.460 r  NULL    0.9334 1.3385
OBS: 53742.480 r  NULL    -0.2887 1.3059
OBS: 53350.560 z  NULL    5.4041 3.1096
OBS: 53352.640 z  NULL    -0.2260 4.7821
OBS: 53358.600 z  NULL    25.9906 4.9988
OBS: 53375.620 z  NULL    30.1381 2.8713
OBS: 53390.510 z  NULL    20.5876 3.4114
OBS: 53411.550 z  NULL    11.2932 3.6207
OBS: 53419.410 z  NULL    10.0130 6.9138
OBS: 53446.350 z  NULL    -2.2910 4.0542
OBS: 53463.380 z  NULL    18.8668 6.1394
OBS: 53470.340 z  NULL    7.9769 4.7679
OBS: 53699.620 z  NULL    5.3181 2.5621
OBS: 53700.590 z  NULL    3.9693 7.2206
OBS: 53705.630 z  NULL    5.5698 3.3417
OBS: 53728.630 z  NULL    -3.8598 2.9210
